"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
18.1,6.60953333333334,195.761037858939,125.332527658942,3.73350266666667,3.38907700000001,18.102952,0.526933333333333,0.0735333333333333,3.6334,3.5061
15.2,8,325.992443080669,194.073365266064,3.084384,3.79353627142857,17.3383500793651,0,0.00476666666666667,3.0016,2.9673967032967
33.9,4,90.3518891976486,83.0241527084027,4.127952,1.97899226666667,18.8278936666667,0.956733333333334,0.971320346320346,4.0584,1.29429523809524
30.4,4,91.4497332452678,85.1208341658341,4.11431866666667,1.9672813,18.6659886666667,0.956733333333334,0.974420346320346,4.0639,1.40512857142857
30.4,4,91.4497332452678,85.1208341658341,4.11431866666667,1.9672813,18.6659886666667,0.956733333333334,0.974420346320346,4.0639,1.40512857142857
15,8,327.449606890193,219.221980489729,3.18005533333334,3.74969012380952,16.8534447460318,0,0.0324,3.02213333333333,3.4493347985348
16.4,8,324.295059747335,191.862122358971,3.10515433333333,3.76893467619048,17.3176787460318,0,0.00486666666666667,3.0056,2.72235860805861
21.5,4.41966666666667,123.188957020937,96.8187133866134,3.896581,2.70413166666667,19.1807806666667,0.939,0.731420346320346,4.00293333333333,1.57392857142857
30.4,4,91.4497332452678,85.1208341658341,4.11431866666667,1.9672813,18.6659886666667,0.956733333333334,0.974420346320346,4.0639,1.40512857142857
14.3,8,369.501105528221,227.035862851811,3.20989933333334,3.98699126666667,16.819854,0,0.0216,3.024,3.65816813186813
15.2,8,325.992443080669,194.073365266064,3.084384,3.79353627142857,17.3383500793651,0,0.00476666666666667,3.0016,2.9673967032967
32.4,4,90.9595305468551,83.0241527084027,4.126844,1.98364876666667,18.8233686666667,0.956733333333334,0.971320346320346,4.0584,1.29429523809524
33.9,4,90.3518891976486,83.0241527084027,4.127952,1.97899226666667,18.8278936666667,0.956733333333334,0.971320346320346,4.0584,1.29429523809524
19.2,6.8144,197.36846935287,124.833811832612,3.36464,3.41645566666668,18.0563866666667,0.4872,0.0508666666666667,3.23906666666667,3.10721098901099
21.4,4.9996,132.611029353049,99.788612015762,3.91321866666667,2.86241963333333,19.9011633333334,0.947333333333333,0.620820346320347,3.99596666666667,1.64523333333333
19.2,6.8144,197.36846935287,124.833811832612,3.36464,3.41645566666668,18.0563866666667,0.4872,0.0508666666666667,3.23906666666667,3.10721098901099
18.7,7.06573333333333,335.855694404276,193.034226649941,3.19810566666667,3.70372586190477,17.0608802222222,0.0066,0.0082,3.01843333333333,3.13248241758242
21,5.94386666666667,173.818962698413,114.643793578644,3.87050566666668,3.00912816666667,17.4382416666667,0.278966666666667,0.650366666666667,4.27003333333333,3.63499523809524
33.9,4,90.3518891976486,83.0241527084027,4.127952,1.97899226666667,18.8278936666667,0.956733333333334,0.971320346320346,4.0584,1.29429523809524
21.4,4.9996,132.611029353049,99.788612015762,3.91321866666667,2.86241963333333,19.9011633333334,0.947333333333333,0.620820346320347,3.99596666666667,1.64523333333333
10.4,8,403.90672127091,223.938508089906,3.12985000000001,4.54453933333333,17.3232435555555,0,0.00913333333333334,3.00866666666667,3.47316813186813
16.4,8,324.295059747335,191.862122358971,3.10515433333333,3.76893467619048,17.3176787460318,0,0.00486666666666667,3.0056,2.72235860805861
21,5.94386666666667,173.818962698413,114.643793578644,3.87050566666668,3.00912816666667,17.4382416666667,0.278966666666667,0.650366666666667,4.27003333333333,3.63499523809524
21.5,4.41966666666667,123.188957020937,96.8187133866134,3.896581,2.70413166666667,19.1807806666667,0.939,0.731420346320346,4.00293333333333,1.57392857142857
33.9,4,90.3518891976486,83.0241527084027,4.127952,1.97899226666667,18.8278936666667,0.956733333333334,0.971320346320346,4.0584,1.29429523809524
10.4,8,403.90672127091,223.938508089906,3.12985000000001,4.54453933333333,17.3232435555555,0,0.00913333333333334,3.00866666666667,3.47316813186813
10.4,8,403.90672127091,223.938508089906,3.12985000000001,4.54453933333333,17.3232435555555,0,0.00913333333333334,3.00866666666667,3.47316813186813
15.5,8,326.730863080669,189.991770821619,3.03717866666666,3.74248497142857,17.3434514126984,0,0.0031,3.0016,2.78355860805861
10.4,8,403.90672127091,223.938508089906,3.12985000000001,4.54453933333333,17.3232435555555,0,0.00913333333333334,3.00866666666667,3.47316813186813
22.8,4.04466666666667,118.001302927808,93.9252312076812,3.875591,2.49719716666667,19.1911243333333,0.9568,0.760620346320346,4.00976666666667,1.32712857142857
15.8,8,328.100916414002,198.472573202572,3.14890433333333,3.72908866190476,17.1929387460318,0,0.0057,3.0056,2.97650146520146
19.2,6.8144,197.36846935287,124.833811832612,3.36464,3.41645566666668,18.0563866666667,0.4872,0.0508666666666667,3.23906666666667,3.10721098901099
